zipcode,city
2203,Boston
2208,Boston
2458,Newton
10469,Bronx
11236,Brooklyn
14604,Rochester
19805,Wilmington
20551,Washington
21211,Baltimore
21229,Baltimore
22405,Fredericksburg
23464,Virginia Beach
23605,Newport News
27455,Greensboro
29424,Charleston
29505,Florence
31217,Macon
31605,Valdosta
32259,Saint Johns
32405,Panama City
33169,Miami
33884,Winter Haven
35254,Birmingham
35810,Huntsville
40210,Louisville
44310,Akron
44511,Youngstown
46221,Indianapolis
48206,Detroit
50320,Des Moines
52804,Davenport
54915,Appleton
55407,Minneapolis
55417,Minneapolis
55446,Minneapolis
59105,Billings
60505,Aurora
66617,Topeka
67205,Wichita
68144,Omaha
73104,Oklahoma City
75044,Garland
75074,Plano
75231,Dallas
76011,Arlington
76205,Denton
76705,Waco
77005,Houston
77070,Houston
78220,San Antonio
78405,Corpus Christi
80005,Arvada
85083,Phoenix
85205,Mesa
89130,Las Vegas
90015,Los Angeles
90805,Long Beach
92056,Oceanside
92844,Garden Grove
93291,Visalia
94105,San Francisco
94705,Berkeley
97216,Portland
97221,Portland
98042,Kent